D1,D2,D3,D4,D5,S1,S2,S3,S4,medsq2,precmed
0.221254334,0.23415637,1.037550807,-1.08518672,0.04008355,0.048835319,-1.011492491,0.138452739,-0.675112605,1020,75288
-1.61860168,0.253483921,-0.435304493,-0.134062976,1.475872755,-0.747220039,1.114927769,-0.989895463,0.09682633,721,51127
1.416661143,0.442464054,1.299341917,-0.924052358,1.392260194,0.537086666,-1.025215387,-0.302464455,-0.627852023,#N/A,28193
-0.530389488,0.929229975,-6.744297028,-1.23874712,-2.80002594,0.057528421,2.232271671,-0.965375543,-0.618334651,987,77438
0.540079594,-0.360239089,-4.323803425,-1.213550329,-1.147762775,0.920699537,1.754511714,0.332562059,0.034533978,856,70156
0.805547774,0.454251468,-3.300546408,-1.284937024,-1.527873397,0.94843787,1.50437963,-0.499835491,-0.538019121,1210,133333
-1.80371058,-0.632881105,-0.776419163,-0.129406512,-0.581622481,-1.235378623,1.367653012,-0.332192719,-0.137708247,814,67207
-1.479253888,-0.237552673,-0.795148551,-0.235781997,-0.071404614,-1.104693532,1.490543365,-0.663017392,0.612040639,567,43836
-1.983220816,-0.263702482,-0.969268084,-0.30129239,-0.60111469,-1.201604247,1.267074585,-0.888419867,0.302735567,#N/A,18522
-1.538816452,-0.569339395,-0.435112238,-0.317028552,-0.592263758,-1.263419986,1.135909915,0.052604795,0.942116022,#N/A,29248
-1.889806986,-0.418617517,0.15822196,-0.158749074,0.301394343,-1.02992487,1.425269008,-0.577829957,0.548313677,654,48261
-1.884149313,-0.32510674,-0.535706401,-0.222821355,-0.314446241,-1.001991749,1.434547663,-0.76327455,0.484507352,#N/A,30254
